2016-07-17	450	628.578622	girl	red
2014-02-17	418	226.950670	boy	red
2016-03-03	418	208.042709	girl	red
2014-04-28	26	915.238500	boy	blue
2014-09-07	182	744.946901	boy	green
2014-07-21	345	542.665316	girl	blue
2014-01-21	807	396.394572	boy	yellow
2016-01-23	36	792.745992	boy	blue
2015-07-07	44	616.078044	girl	blue
2014-08-18	390	527.061301	boy	yellow
2014-04-02	456	4.716575	girl	green
2015-12-20	584	577.939367	boy	blue
2015-03-18	718	919.344036	girl	yellow
2015-04-26	792	623.799887	boy	red
2015-08-23	938	927.630485	boy	yellow
2015-09-27	14	40.380074	girl	blue
2014-07-15	26	451.519075	girl	blue
2016-05-15	116	969.555910	boy	red
2015-04-15	209	827.094101	boy	yellow
2014-03-03	202	811.039542	boy	red
2015-01-07	254	512.529009	girl	blue
2015-09-01	2	703.001673	girl	yellow
2016-04-26	667	187.608667	boy	red
2016-01-23	312	884.018403	girl	blue
2014-10-11	792	585.769718	girl	purple
2014-03-30	507	373.570850	girl	yellow
2015-03-27	78	635.718898	girl	purple
2014-12-27	100	41.486492	girl	purple
2016-04-17	683	138.001860	girl	red
2016-03-08	300	925.708079	boy	green
2016-01-16	925	971.141551	boy	red
2016-06-23	317	223.288738	boy	green
2016-01-26	783	819.096804	boy	blue
2015-01-28	71	309.760628	boy	blue
2016-03-27	325	444.532115	boy	purple
2015-07-10	552	517.586297	boy	red
2014-05-19	740	988.004758	boy	yellow
2014-06-07	463	61.233638	boy	green
2016-06-02	518	256.335606	boy	yellow
2014-03-14	528	114.734319	girl	red
2015-06-08	207	731.211508	boy	yellow
2015-10-09	211	715.706315	boy	red
2014-07-08	672	302.847557	boy	yellow
2014-05-06	375	957.917383	girl	yellow
2016-06-09	530	205.990431	girl	purple
2016-09-06	294	682.120222	girl	blue
2015-09-15	166	190.032588	boy	red
2015-01-12	591	978.913511	boy	blue
2015-10-21	571	259.954915	girl	green
2015-09-29	75	414.686734	boy	purple